time,x,y,distance,velocity
36.6,-6.50245,5.35361,0.025351,0.25351
36.7,-6.56309,5.3056,0.0773387,0.773387
36.8,-6.96953,5.19112,0.42226,4.2226
36.9,-7.29009,4.9458,0.40366,4.0366
37,-7.48732,4.61839,0.382227,3.82227
37.1,-7.79551,4.29967,0.443352,4.43352
37.2,-8.17312,4.08794,0.432921,4.32921
37.3,-8.22508,4.13622,0.0709261,0.709261
37.4,-8.03156,4.36001,0.295857,2.95857
37.5,-8.01368,4.32818,0.0365116,0.365116
37.6,-8.00226,4.23705,0.0918433,0.918433
37.7,-8.33018,3.3599,0.936437,9.36437
37.8,-8.35636,3.1972,0.1648,1.648
37.9,-8.32905,3.1882,0.028752,0.28752
38,-8.18411,3.2143,0.147267,1.47267
38.1,-7.95149,3.33192,0.260663,2.60663
38.2,-7.76273,3.23557,0.211927,2.11927
38.3,-7.53549,3.10726,0.260962,2.60962
38.4,-7.24206,2.98284,0.318715,3.18715
38.5,-6.78019,2.88949,0.47121,4.7121
38.6,-6.24796,2.78063,0.543255,5.43255
38.7,-5.84882,2.83668,0.403054,4.03054
38.8,-5.47459,2.65935,0.414124,4.14124
38.9,-5.07901,2.53522,0.414596,4.14596
39,-4.64081,2.62363,0.447026,4.47026
39.1,-4.48565,2.74079,0.194428,1.94428
39.2,-4.47938,2.89335,0.152682,1.52682
39.3,-4.22872,2.95508,0.258146,2.58146
39.4,-3.88146,2.83248,0.36827,3.6827
39.5,-3.49427,2.7035,0.408099,4.08099
39.6,-2.66465,2.35984,0.897983,8.97983
39.7,-1.424,2.19806,1.25116,12.5116
39.8,-0.508414,2.07044,0.924438,9.24438
39.9,-0.0191184,2.11846,0.491647,4.91647
40,0.773399,2.10709,0.792599,7.92599
40.1,1.93559,2.05563,1.16333,11.6333
40.2,3.25307,2.13906,1.32012,13.2012
40.3,3.93994,2.23924,0.694131,6.94131
40.4,3.47517,2.20402,0.466096,4.66096
40.5,3.58647,2.10009,0.152278,1.52278
40.6,3.98149,2.05736,0.397322,3.97322
40.7,4.35751,2.01638,0.378252,3.78252
40.8,4.79289,1.99639,0.435842,4.35842
40.9,4.95381,2.0557,0.171498,1.71498
41,5.17311,2.09519,0.222823,2.22823
41.1,5.47199,2.02462,0.307104,3.07104
41.2,5.47663,2.04898,0.0247937,0.247937
41.3,5.22475,2.10539,0.258118,2.58118
41.4,5.20979,2.18364,0.0796688,0.796688
41.5,5.7171,2.30347,0.52127,5.2127
41.6,6.70839,2.47421,1.00589,10.0589
41.7,7.56052,2.72807,0.889144,8.89144
41.8,8.22966,2.84935,0.680038,6.80038
41.9,8.68932,2.94669,0.469853,4.69853
42,8.95821,3.09964,0.30935,3.0935
42.1,8.95562,3.11273,0.0133457,0.133457
42.2,8.92582,3.10401,0.0310552,0.310552
42.3,8.93113,3.07866,0.0258996,0.258996
42.4,9.02166,3.10091,0.0932234,0.932234
42.5,9.02844,3.10279,0.00703507,0.0703507
42.6,9.00368,3.08836,0.0286611,0.286611
42.7,9.00945,3.07819,0.0116944,0.116944
42.8,9.00669,3.07625,0.00336965,0.0336965
42.9,8.85934,3.02748,0.155213,1.55213
43,8.56093,3.01872,0.298535,2.98535
43.1,8.53775,3.20684,0.189548,1.89548
43.2,8.84472,3.85509,0.717255,7.17255
43.3,9.19947,4.23523,0.519953,5.19953
43.4,9.41864,4.4357,0.297025,2.97025
43.5,9.34069,4.49341,0.0969874,0.969874
43.6,9.31321,4.37383,0.122699,1.22699
43.7,9.43856,4.53689,0.205683,2.05683
43.8,9.59686,4.53075,0.158412,1.58412
43.9,9.67367,4.65807,0.148698,1.48698
44,9.71181,4.78055,0.128278,1.28278
44.1,9.85342,4.96722,0.234307,2.34307
44.2,9.88512,5.10765,0.143971,1.43971
44.3,10.1148,5.33168,0.32084,3.2084
44.4,10.1723,5.00304,0.333635,3.33635
44.5,9.85628,4.37385,0.70408,7.0408
44.6,9.81121,4.29355,0.0920802,0.920802
44.7,9.95189,4.25401,0.146126,1.46126
44.8,10.173,4.31422,0.229146,2.29146
44.9,10.6436,4.29749,0.470964,4.70964
45,10.6833,4.36046,0.0744037,0.744037
45.1,10.796,3.91392,0.460556,4.60556
45.2,10.7284,3.4196,0.498925,4.98925
45.3,10.3815,3.3332,0.357467,3.57467
45.4,10.2263,3.17845,0.219161,2.19161
45.5,9.96605,3.07482,0.280137,2.80137
45.6,10.0534,2.6516,0.432147,4.32147
45.7,10.0781,2.60876,0.049415,0.49415
45.8,9.9031,2.68672,0.191549,1.91549
45.9,9.65971,2.97614,0.378163,3.78163
46,9.57735,3.08634,0.137569,1.37569
46.1,9.10824,3.19013,0.480457,4.80457
46.2,8.20329,3.57401,0.983005,9.83005
46.3,7.06738,3.73138,1.14676,11.4676
46.4,5.81033,3.69206,1.25766,12.5766
46.5,4.60342,3.92424,1.22904,12.2904
46.6,3.90977,3.74308,0.716915,7.16915
46.7,3.23558,3.76739,0.674632,6.74632
46.8,2.54826,3.80678,0.688444,6.88444
46.9,1.519,3.52682,1.06665,10.6665
47,0.280107,3.32616,1.25504,12.5504
47.1,-0.771199,3.19317,1.05968,10.5968
47.2,-1.77641,2.89992,1.04711,10.4711
47.3,-2.95006,3.11359,1.19294,11.9294
47.4,-4.26747,2.88234,1.33755,13.3755
47.5,-5.4403,2.90744,1.1731,11.731
47.6,-6.77496,2.77916,1.34081,13.4081
47.7,-7.92686,2.53906,1.17666,11.7666
47.8,-9.01437,2.46457,1.09006,10.9006
47.9,,,,
48,-9.74518,2.27607,,
48.1,-9.76712,2.17179,0.106569,1.06569
48.2,-9.98538,2.08759,0.233937,2.33937
48.3,-10.1746,2.08958,0.189253,1.89253
48.4,-10.3574,1.99192,0.207217,2.07217
48.5,-10.5262,1.928,0.180495,1.80495
48.6,-10.7358,1.97807,0.215508,2.15508
48.7,-10.9304,2.0638,0.212639,2.12639
48.8,-11.386,2.27322,0.501459,5.01459
48.9,-10.9147,1.98772,0.551033,5.51033
49,-11.1873,2.21143,0.35264,3.5264
49.1,-11.1726,2.24116,0.033184,0.33184
49.2,-10.8882,2.1027,0.316309,3.16309
49.3,-10.8188,2.15253,0.0854172,0.854172
49.4,-10.802,2.17474,0.027849,0.27849
49.5,-10.8316,2.13932,0.0461337,0.461337
49.6,-10.8315,2.06488,0.0744482,0.744482
49.7,-10.8325,2.0421,0.0227936,0.227936
49.8,-10.673,2.04195,0.159431,1.59431
49.9,-10.6233,2.05821,0.052345,0.52345
